id_core,wcpm_easycbmcore.wave1,wcpm_easycbmcore.wave2,wcpm_easycbmcore.wave3,wcpm_easycbmcore.wave4,wcpm_core.wave1,wcpm_core.wave2,wcpm_core.wave3,wcpm_core.wave4,wr_easycbmcore.wave1,wr_easycbmcore.wave2,wr_easycbmcore.wave3,wr_easycbmcore.wave4,secs_easycbmcore.wave1,secs_easycbmcore.wave2,secs_easycbmcore.wave3,secs_easycbmcore.wave4,secs_core.wave1,secs_core.wave2,secs_core.wave3,secs_core.wave4,grade_core,readingcomp_easycbm.spring,sbac_score,sbac_prof,state,gender_state,ethnicity_state,frl_state,sped_state,lep_state,district_core,school_core,date.wave1,date.wave2,date.wave3,date.wave4,npassages_core.wave1,npassages_core.wave2,npassages_core.wave3,npassages_core.wave4
51,149.1891891891892,118.2924738556489,143.59707090551885,151.39302610828807,103.21240749062429,104.9297293595983,123.9317502857468,119.09556145342404,95,119,141,151,37,58.33,55.99,57.07,315.87,327.21000000000004,333.04,225.03,3,18,2483,Met,or,Female,White,N,N,N,District 3,School A,2017-10-27T15:58:33Z,2017-12-07T19:05:34Z,2018-03-05T19:16:22Z,2018-05-10T18:02:33Z,9,9,12,8
55,122.86689419795222,87.37864077669903,86.30470016207455,133.45356176735797,71.84429972042236,78.96223570263186,86.59957937450443,85.06465861826446,72,14,71,83,35.16,8.24,49.36,33.27,292.34,367.3,531.71,272.06,3,14,2439,Met,or,Female,White,N,N,N,District 3,School A,2017-10-27T15:47:36Z,2017-12-07T18:57:30Z,2018-03-05T19:28:15Z,2018-05-10T18:05:53Z,8,8,12,7
57,87.90423441129177,87.30889666605269,109.4420600858369,85.01297146278189,92.26425239998534,82.85613866513803,88.04258888265358,107.07189376877541,86,119,89,74,55.97,54.29,46.6,50.11,262.78000000000003,333.67,375.52,262.53,3,17,2464,Met,or,Female,White,N,N,N,District 3,School A,2017-10-27T15:48:15Z,2017-12-07T19:15:23Z,2018-03-05T19:42:10Z,2018-05-10T18:01:43Z,8,7,10,8
58,NA,-0,59.720457433290974,NA,NA,40.39344567547846,42.666040576300134,NA,NA,1,47,NA,NA,-Inf,47.22,NA,NA,645.2,617.65,NA,3,15,2411,Not Met,or,Female,White,Y,N,N,District 3,School A,NA,2017-12-07T19:07:35Z,2018-03-05T19:23:56Z,NA,NA,9,9,NA
61,93.13633813353282,NA,110.39999999999999,108.7923366404379,104.63801401042869,82.88750770609664,111.17198642319347,97.31598679363627,118,NA,103,147,53.47,NA,50,58.46,290.64,83.1,345.05,235.59,3,19,2534,Met,or,Male,White,Y,N,N,District 3,School A,2017-10-27T15:50:19Z,NA,2018-03-05T18:58:58Z,2018-05-10T18:04:22Z,9,2,12,8
62,88.66995073891624,101.96779964221825,91.08159392789375,NA,88.20176372273704,98.65649201898096,89.32771198924597,NA,86,97,91,NA,54.81,55.9,57.97,NA,332.4,339.02,370.75,NA,3,13,2444,Met,or,Female,White,N,N,N,District 3,School A,2017-10-27T15:51:57Z,2017-12-07T19:17:02Z,2018-03-05T19:03:06Z,NA,9,9,11,NA
64,131.58907272027704,92.68674227610481,118.01242236024845,NA,93.99025445384336,90.74315053473946,101.89762471182681,NA,58,82,120,NA,25.99,51.14,57.96,NA,345.05,377.63,335.83,NA,3,9,2461,Met,or,Male,White,N,N,N,District 3,School A,2017-10-27T15:57:28Z,2017-12-07T19:14:00Z,2018-03-05T19:11:10Z,NA,9,9,10,NA
65,66.90068139582903,-0,311.68831168831167,-0,65.49223928028574,42.747917018200646,105.0052762572606,59.34658675482104,70,1,5,1,48.43,-Inf,0.77,-Inf,389.82,317.05,304.49,141.76,3,12,2324,Not Met,or,Male,White,N,Y,N,District 3,School A,2017-10-27T15:50:12Z,2017-12-07T19:35:33Z,2018-03-05T19:01:01Z,2018-05-10T18:17:06Z,8,6,11,4
67,63.44410876132931,52.21023320570832,50.97345132743363,74.63989524225228,41.518673164096825,43.19864193690509,48.876915704358254,64.80137294210235,37,27,51,61,33.1,28.73,56.5,45.82,440.24,456.03,516.21,457.05,3,5,2330,Not Met,or,Female,White,Y,N,N,District 3,School A,2017-10-27T16:01:27Z,2017-12-07T19:23:08Z,2018-03-05T19:19:53Z,2018-05-10T18:18:25Z,7,7,9,9
69,76.29768605378362,-0,315.7894736842105,120.64482579303173,103.33595760194518,109.19503865274874,104.3125614991882,116.91263350521362,62,1,1,119,47.97,-Inf,0.19,57.69,212.35,309.32,347.78999999999996,261.07,3,14,2423,Not Met,or,Male,White,Y,N,N,District 3,School A,2017-10-27T15:48:17Z,2017-12-07T19:07:59Z,2018-03-05T19:07:52Z,2018-05-10T18:03:36Z,7,9,11,9
72,109.29330409849891,110.66072152411836,140.18209929565367,132.72471910112358,105.30207144033938,102.847798082961,135.00082979068938,133.44859296276636,128,114,139,132,59.29,49.34,58.21,56.96,244.35,248.46,323.1,214.93,3,18,2508,Met,or,Male,White,N,N,N,District 3,School A,2017-10-27T15:50:47Z,2017-12-07T19:06:55Z,2018-03-05T19:21:55Z,2018-05-10T18:02:59Z,8,7,12,9
73,93.75,NA,-0,116.58031088082903,103.042925406827,NA,NA,113.82270371158377,5,NA,1,16,3.2,NA,-Inf,7.72,268.29,NA,NA,238.82,3,11,2411,Not Met,or,Female,White,N,N,N,District 3,School A,2017-10-27T15:48:53Z,NA,2018-03-05T19:36:10Z,2018-05-10T18:03:08Z,9,NA,NA,9
74,64.56091634849011,99.74025974025975,124.19006479481641,52.94117647058824,55.35633562321116,109.5761779025944,129.90724650226107,104.02921780211696,100,100,139,20,57.62,57.75,55.56,6.8,299.24,267.14,346.22999999999996,232.73,3,9,2338,Not Met,or,Male,White,Y,N,N,District 3,School A,2017-10-27T15:53:41Z,2017-12-07T19:02:43Z,2018-03-05T19:25:50Z,2018-05-10T18:08:02Z,7,8,12,8
101,119.73807296538821,92.18512898330805,NA,NA,104.45984750230599,96.46391753947758,NA,NA,72,95,NA,NA,32.07,52.72,NA,NA,297.76,179.6,NA,NA,3,17,2442,Met,or,Male,White,Y,N,N,District 3,School A,2017-10-27T15:55:13Z,2017-12-07T19:15:56Z,NA,NA,9,5,NA,NA
153,95.78804347826086,109.45273631840794,147.01910090681073,131.62513162513162,96.16983254257444,102.73460220860147,123.26864727180171,123.3084100251129,99,102,131,132,58.88,54.27,51.83,56.98,337.57,325.6,299.38,239.9,3,18,2439,Met,or,Male,White,N,N,N,District 3,School A,2017-10-25T15:59:08Z,2017-12-08T21:30:27Z,2018-03-15T20:34:01Z,2018-05-02T16:21:34Z,9,9,11,9
154,149.3606138107417,136.76092544987145,177.84552845528455,189.95744680851064,134.35216208073643,148.13792650959007,178.9625832086025,184.93170302692292,150,136,181,201,58.65,58.35,59.04,58.75,237.04,236.18,217.68,166.74,3,16,2547,Met,or,Female,White,Y,N,N,District 3,School A,2017-10-25T15:55:26Z,2017-12-08T21:30:44Z,2018-03-15T20:32:08Z,2018-05-02T16:19:42Z,9,9,11,9
155,110.85450346420323,98.74696091266131,119.60542540073983,97.67678480583348,86.9832152886349,104.02779274358095,104.32444688491826,95.51003969932026,48,88,100,101,25.98,53.47,48.66,58.97,335.23,337.57,418.71,293.74,3,12,2346,Not Met,or,Male,White,N,N,N,District 3,School A,2017-10-25T15:59:59Z,2017-12-08T21:30:51Z,2018-03-15T20:30:28Z,2018-05-02T16:20:39Z,8,9,12,9
156,157.70609318996415,129.56298200514138,164.36957631444614,174.10487018496522,149.79041170129784,146.7164042559478,164.02059369998977,163.96381534230937,158,130,167,179,58.59,58.35,58.77,58.93,205.81,239.75,275.11,180.66,3,17,2536,Met,or,Female,White,Y,N,N,District 3,School A,2017-10-25T15:54:47Z,2017-12-08T21:30:54Z,2018-03-15T20:28:02Z,2018-05-02T16:21:51Z,9,9,12,9
157,83.08383233532935,101.28126906650397,111.82875069200959,123.12633832976447,88.63200300739112,96.43631343472445,104.46251418597545,115.39019091106908,74,85,102,116,53.44,49.17,54.19,56.04,377.21999999999997,353.96,427.72,260.66,3,13,2371,Not Met,or,Female,Multi-Racial,N,N,N,District 3,School A,2017-10-25T15:54:11Z,2017-12-08T21:33:59Z,2018-03-15T20:36:31Z,2018-05-02T16:21:44Z,9,9,12,9
