ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Name (All Years): Bohemia Elementary School Bordeaux Elementary School Jewett Elementary School Maple Elementary School Mountain View Elementary Mt Vernon Elementary School Yolanda Elementary School

School Name,State Name [Public School] Latest available year,State Name [Public School] 2018-19,State Name [Public School] 2017-18,School Name [Public School] 2018-19,School Name [Public School] 2017-18,School ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2018-19,County Name [Public School] 2017-18,School Type [Public School] 2018-19,School Type [Public School] 2017-18,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,School-wide Title I [Public School] 2018-19,School-wide Title I [Public School] 2017-18,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,Grade 2 offered [Public School] 2018-19,Grade 2 offered [Public School] 2017-18,Grade 3 offered [Public School] 2018-19,Grade 3 offered [Public School] 2017-18,Grade 4 offered [Public School] 2018-19,Grade 4 offered [Public School] 2017-18,School Level (SY 2017-18 onward) [Public School] 2018-19,School Level (SY 2017-18 onward) [Public School] 2017-18,Total Students All Grades (Includes AE) [Public School] 2018-19,Total Students All Grades (Includes AE) [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Grade 2 Students [Public School] 2018-19,Grade 2 Students [Public School] 2017-18,Grade 3 Students [Public School] 2018-19,Grade 3 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grade 4 Students [Public School] 2018-19,Grade 4 Students [Public School] 2017-18,Male Students [Public School] 2018-19,Male Students [Public School] 2017-18,Female Students [Public School] 2018-19,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2017-18,Black Students [Public School] 2018-19,Black Students [Public School] 2017-18,White Students [Public School] 2018-19,White Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2017-18
BOHEMIA ELEMENTARY SCHOOL,Oregon,OREGON,OREGON,Bohemia Elementary School,Bohemia Elementary School,411158000608,Lane County,Lane County,1-Regular school,1-Regular school,32-Town: Distant,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,Elementary,Elementary,457,475,341,358,83,62,65,67,374,402,62,84,227,259,230,216,14,6,5,6,106,99,2,1,316,346,1,3,13,14,457,475,26.80,27.80,17.05,17.09
BORDEAUX ELEMENTARY SCHOOL,Washington,WASHINGTON,WASHINGTON,Bordeaux Elementary School,Bordeaux Elementary School,530790001292,Mason County,Mason County,1-Regular school,1-Regular school,32-Town: Distant,32-Town: Distant,2-No,1-Yes,2-Title I targeted assistance school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,Elementary,Elementary,554,568,362,357,97,104,105,95,458,476,94,89,291,301,263,267,27,33,1,2,108,100,1,1,364,388,1,1,52,43,554,568,33.08,34.00,16.75,16.71
JEWETT ELEMENTARY SCHOOL,Oregon,OREGON,OREGON,Jewett Elementary School,Jewett Elementary School,410294000403,Jackson County,Jackson County,1-Regular school,1-Regular school,22-Suburb: Mid-size,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,Elementary,Elementary,631,601,418,398,120,95,91,114,518,499,110,89,307,284,324,317,6,10,5,4,174,153,2,2,406,402,1,1,37,29,631,601,30.20,28.25,20.89,21.27
MAPLE ELEMENTARY SCHOOL,Oregon,OREGON,OREGON,Maple Elementary School,Maple Elementary School,411167000583,Lane County,Lane County,1-Regular school,1-Regular school,22-Suburb: Mid-size,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,Elementary,Elementary,357,349,308,301,67,59,68,55,294,297,53,55,186,171,171,178,1,3,3,2,97,97,="0",1,235,224,2,2,19,20,357,349,18.99,19.70,18.80,17.72
MOUNTAIN VIEW ELEMENTARY,Washington,WASHINGTON,WASHINGTON,Mountain View Elementary,Mountain View Elementary,530790001294,Mason County,Mason County,1-Regular school,1-Regular school,32-Town: Distant,32-Town: Distant,2-No,1-Yes,2-Title I targeted assistance school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,Elementary,Elementary,759,683,501,449,100,107,118,108,532,518,111,107,383,349,376,334,17,12,3,3,176,156,3,2,491,460,2,2,67,48,759,683,42.56,44.42,17.83,15.38
MT VERNON ELEMENTARY SCHOOL,Oregon,OREGON,OREGON,Mt Vernon Elementary School,Mt Vernon Elementary School,411167000586,Lane County,Lane County,1-Regular school,1-Regular school,22-Suburb: Mid-size,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,Elementary,Elementary,503,511,326,345,80,84,81,82,411,439,88,102,263,257,240,254,7,7,4,3,170,148,5,4,284,319,1,2,32,28,503,511,25.73,26.34,19.55,19.40
YOLANDA ELEMENTARY SCHOOL,Oregon,OREGON,OREGON,Yolanda Elementary School,Yolanda Elementary School,411167000589,Lane County,Lane County,1-Regular school,1-Regular school,22-Suburb: Mid-size,22-Suburb: Mid-size,†,†,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,Elementary,Elementary,400,395,195,192,60,63,61,72,322,334,73,60,210,198,190,197,3,1,5,5,66,73,1,="0",305,298,="0",="0",20,18,400,395,18.08,19.99,22.12,19.76


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Public Elementary/Secondary School Universe Survey" 2017-18 v.1a  2018-19 v.1a; "Public Elementary/Secondary School Universe Survey Geographic Data (EDGE)" 2017-18 v.1a  2018-19 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
